"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.12272562663979e-19,-0.0524368897253922,0.991,0.994,2.03572610622326e-15,"A-A07","ACTG1"
1.18266101018358e-19,-0.0959593428768616,0.528,0.588,2.14440094366487e-15,"A-A07","DNAJC2"
1.22517712660737e-19,-0.151247299976598,0.279,0.326,2.22149116596449e-15,"A-A07","VAMP2"
2.43631852562866e-19,0.0809851760696181,0.932,0.939,4.41753275066988e-15,"A-A07","MICOS10"
2.99203844971827e-19,-0.186595666879632,0.149,0.184,5.42516411702917e-15,"A-A07","ING1"
3.37722701365922e-19,-0.087113716030646,0.566,0.624,6.1235880211669e-15,"A-A07","PAK2"
3.38138738664335e-19,-0.0943692989984288,0.728,0.776,6.13113160946172e-15,"A-A07","CADM1"
3.39875288672143e-19,-0.0934203491682865,0.647,0.701,6.1626187342033e-15,"A-A07","ISOC2"
3.43768302360041e-19,-0.124898629781464,0.245,0.288,6.23320685839226e-15,"A-A07","MRI1"
4.3169716931504e-19,-0.105115315749553,0.559,0.614,7.82753307402031e-15,"A-A07","ASAH1"
4.41687574990579e-19,-0.0720096964905408,0.857,0.893,8.00867910972918e-15,"A-A07","DDOST"
4.43543314185659e-19,-0.0455495976062643,0.982,0.985,8.04232737281436e-15,"A-A07","MIF"
5.92304945988177e-19,-0.132441235854925,0.286,0.333,1.07396732806576e-14,"A-A07","WDR81"
6.83825021218912e-19,-0.114437630393275,0.348,0.399,1.23991152847413e-14,"A-A07","USP36"
6.98334695727815e-19,-0.108736450553473,0.487,0.544,1.26622047029367e-14,"A-A07","DNPH1"
7.47482728262817e-19,-0.124733169650546,0.282,0.328,1.35533568288614e-14,"A-A07","GAMT"
8.14040600027431e-19,-0.0748130929282484,0.819,0.86,1.47601841596974e-14,"A-A07","SDF4"
9.11864580040275e-19,-0.210293065405396,0.414,0.46,1.65339285652903e-14,"A-A07","VGF"
1.22640068600781e-18,-0.0709344035622868,0.876,0.905,2.22370972386937e-14,"A-A07","LAMP1"
1.22746819082719e-18,-0.0612274602539449,0.952,0.963,2.22564532360786e-14,"A-A07","EMP3"
1.39493352927341e-18,-0.103000842187029,0.639,0.694,2.52929347527854e-14,"A-A07","COL4A1"
1.84116723675926e-18,-0.18501819931485,0.165,0.201,3.33840443369189e-14,"A-A07","MEGF8"
1.88260259357472e-18,-0.100153095987581,0.509,0.568,3.41353502266967e-14,"A-A07","RAF1"
2.21493181784935e-18,-0.112865864237403,0.258,0.303,4.01611437212443e-14,"A-A07","SMG7"
2.48613243951473e-18,-0.135604909608817,0.211,0.252,4.50785533932811e-14,"A-A07","UBE3B"
2.6172088769896e-18,-0.0822838314580474,0.789,0.834,4.74552313575754e-14,"A-A07","PRRC2C"
2.67450851332704e-18,-0.0604214094696744,0.932,0.949,4.84941883636458e-14,"A-A07","SEC61A1"
3.69164366566746e-18,-0.0921046207613342,0.415,0.47,6.69368829458824e-14,"A-A07","UBAC2"
4.05278919756366e-18,-0.0947191081753643,0.675,0.724,7.34851737302242e-14,"A-A07","SIGMAR1"
4.07860521582353e-18,-0.093057859943304,0.399,0.453,7.39532697733123e-14,"A-A07","TM2D3"
4.44065131461238e-18,-0.110149025215448,0.329,0.379,8.05178896365517e-14,"A-A07","DSTYK"
4.53827417788192e-18,-0.0572004090098184,0.907,0.932,8.2287987393355e-14,"A-A07","HM13"
4.70604867756146e-18,-0.13667259287836,0.263,0.308,8.53300746215443e-14,"A-A07","PHC3"
5.31472446966978e-18,-0.0942734124938494,0.592,0.648,9.63665840840525e-14,"A-A07","NDUFA7"
5.6424799543849e-18,-0.0851383489059736,0.717,0.767,1.02309446532907e-13,"A-A07","PLOD1"
6.28275238504712e-18,-0.151558018981537,0.236,0.277,1.13918866245674e-13,"A-A07","NUDT19"
7.23210123811982e-18,-0.17090137103206,0.166,0.201,1.31132459649589e-13,"A-A07","PYCR3"
7.2943162095654e-18,-0.135649714060774,0.307,0.353,1.3226054151184e-13,"A-A07","SERPINH1"
9.35565831933181e-18,-0.106112133717489,0.442,0.496,1.69636796646124e-13,"A-A07","CYP27A1"
9.41839566683826e-18,-0.106067234654862,0.362,0.413,1.70774350231111e-13,"A-A07","SLC35C2"
9.99610724046206e-18,-0.085175268320002,0.561,0.62,1.81249416484058e-13,"A-A07","TMEM30A"
1.06444912807231e-17,-0.103665706041425,0.455,0.509,1.9300591590207e-13,"A-A07","TFB2M"
1.19979746037527e-17,0.0614247860769193,0.965,0.972,2.17547275515245e-13,"A-A07","PKM"
1.24743562856701e-17,-0.103464897731418,0.38,0.431,2.26185028171771e-13,"A-A07","SORD"
1.36764015428321e-17,-0.0714931561195058,0.79,0.829,2.47980512774631e-13,"A-A07","LAMTOR4"
1.41589450182277e-17,-0.090097388904957,0.568,0.623,2.56729991070504e-13,"A-A07","PSME3"
1.68185910403297e-17,-0.0815455226547142,0.57,0.631,3.04954692743258e-13,"A-A07","C5orf15"
1.74796283227783e-17,-0.101987942741688,0.591,0.646,3.16940620748616e-13,"A-A07","SSH1"
1.81894442386602e-17,-0.107344646328072,0.38,0.431,3.29811002935386e-13,"A-A07","EBPL"
2.11295532263158e-17,-0.204437735676896,0.126,0.156,3.83121059099558e-13,"A-A07","GPSM3"
2.54903426435016e-17,-0.155464176640508,0.132,0.163,4.62190892811972e-13,"A-A07","RBCK1"
2.87989450576275e-17,-0.122269284742374,0.259,0.303,5.22182471784902e-13,"A-A07","DALRD3"
3.07777546856862e-17,-0.130232522154729,0.202,0.241,5.58062247960861e-13,"A-A07","POLG"
3.3793855201669e-17,-0.104425689583994,0.437,0.489,6.12750182516663e-13,"A-A07","UCKL1"
3.73823649670408e-17,-0.116598626295618,0.373,0.421,6.77817041582384e-13,"A-A07","PACRGL"
3.7403166550879e-17,-0.0991588716517722,0.221,0.262,6.78194215900539e-13,"A-A07","PFDN4"
4.33285344727347e-17,-0.123219887083915,0.308,0.354,7.85632987059625e-13,"A-A07","WDR1"
4.62931330478046e-17,-0.0932836957002134,0.424,0.477,8.39387088422794e-13,"A-A07","ACP2"
4.92206834471433e-17,-0.0693043227578345,0.86,0.893,8.92469432263602e-13,"A-A07","COX5B"
5.13369722068553e-17,-0.0994119018063254,0.378,0.429,9.30841980054701e-13,"A-A07","PML"
6.07320173395173e-17,-0.142384586015051,0.199,0.236,1.10119293840013e-12,"A-A07","TICAM1"
6.44882872732652e-17,-0.0909490178969795,0.392,0.442,1.16930162483884e-12,"A-A07","LAMB2"
6.68569564183464e-17,-0.0595381437785076,0.943,0.957,1.21225033377746e-12,"A-A07","TIMP1"
7.38142717644455e-17,-0.10156814630281,0.331,0.38,1.33840037563293e-12,"A-A07","BRAT1"
7.91305323982408e-17,-0.0857524274414205,0.556,0.611,1.4347948134449e-12,"A-A07","GMFB"
8.30873433736959e-17,-0.0618423180012222,0.97,0.978,1.50653971005185e-12,"A-A07","TNC"
8.48768108974555e-17,-0.0907224599232822,0.597,0.653,1.53898633519266e-12,"A-A07","TRIM2"
8.99395404856348e-17,-0.207594235657032,0.092,0.119,1.63078374808553e-12,"A-A07","RHBDF1"
9.2797497210855e-17,-0.0873267399085527,0.491,0.544,1.68260421942722e-12,"A-A07","ANKH"
9.35073080825713e-17,-0.0658069846100624,0.859,0.887,1.69547451015318e-12,"A-A07","SSR3"
1.09583495321852e-16,-0.12066898822798,0.246,0.287,1.98696793717581e-12,"A-A07","TMEM161A"
1.13902687291397e-16,-0.150321613353532,0.156,0.19,2.06528352596761e-12,"A-A07","TYSND1"
1.3436033820207e-16,-0.1049086370703,0.501,0.553,2.43622165227993e-12,"A-A07","CSPG4"
1.39213955023881e-16,-0.10969174657787,0.341,0.389,2.52422743249301e-12,"A-A07","POLE4"
1.50308102704676e-16,-0.0648594085020766,0.803,0.842,2.72538651824118e-12,"A-A07","CCT5"
1.69536143629339e-16,-0.163785285591594,0.261,0.3,3.07402935628717e-12,"A-A07","BTN2A2"
1.71896002120089e-16,-0.09487294486122,0.836,0.864,3.11681831044146e-12,"A-A07","TGFBI"
1.83967640292489e-16,-0.0534103174835594,0.942,0.956,3.33570125378341e-12,"A-A07","TIMP2"
1.85458417337047e-16,-0.0937096253128518,0.427,0.482,3.36273202315533e-12,"A-A07","USF1"
1.95858913477018e-16,-0.0840145364115549,0.498,0.552,3.55131381916528e-12,"A-A07","TTYH3"
2.02528851764858e-16,-0.121646072394616,0.242,0.283,3.67225314020041e-12,"A-A07","ZNHIT2"
2.09257990146053e-16,-0.087665465182726,0.526,0.578,3.79426587732824e-12,"A-A07","SCAND1"
2.11854599832054e-16,-0.0903132681964913,0.315,0.361,3.8413476041548e-12,"A-A07","METTL2A"
2.34671041966062e-16,0.0497149471821672,0.985,0.986,4.25505533292863e-12,"A-A07","OAZ1"
2.59700048319411e-16,-0.0918200579386234,0.46,0.516,4.70888127612757e-12,"A-A07","ZDHHC5"
2.61439061878175e-16,-0.108733812250398,0.254,0.296,4.74041306997508e-12,"A-A07","VPS37A"
2.65358397549048e-16,-0.095223297921091,0.404,0.454,4.81147846435933e-12,"A-A07","FARP1"
2.83702686167183e-16,-0.176695821046704,0.14,0.171,5.14409710558335e-12,"A-A07","CDCA4"
2.87797872581135e-16,-0.101610353978168,0.369,0.416,5.21835102564113e-12,"A-A07","PABPC1L"
2.92253225737263e-16,-0.128916436611348,0.22,0.258,5.29913548906806e-12,"A-A07","ZNFX1"
2.94298371174763e-16,-0.103475685116386,0.303,0.349,5.3362180661408e-12,"A-A07","C3orf14"
3.26065367404999e-16,-0.0944378845616169,0.909,0.929,5.91221724178744e-12,"A-A07","SERPINA3"
3.52968861659105e-16,-0.098612890213711,0.457,0.509,6.40003139960289e-12,"A-A07","MUL1"
3.62825382990273e-16,-0.156792322554922,0.162,0.195,6.57874984437963e-12,"A-A07","JADE2"
3.72029035428654e-16,-0.0880350954810489,0.531,0.585,6.74563047039235e-12,"A-A07","ELP6"
3.96238349722537e-16,-0.0572581024307413,0.914,0.939,7.18459375716904e-12,"A-A07","SLC25A3"
4.1383679611324e-16,-0.112768154304465,0.181,0.216,7.50368878712526e-12,"A-A07","RPUSD1"
4.16203285941157e-16,-0.0802046053332991,0.633,0.688,7.54659798068505e-12,"A-A07","ATP6V0C"
4.17745716875823e-16,-0.114376207401945,0.322,0.368,7.57456533839242e-12,"A-A07","TSSC4"
4.19984417321775e-16,-0.150879517230404,0.231,0.27,7.61515745487842e-12,"A-A07","TMEM171"
4.44352304242534e-16,-0.119691811147001,0.271,0.314,8.05699598052563e-12,"A-A07","TIMELESS"
4.55992842019758e-16,-0.0772073955188521,0.441,0.496,8.26806221150225e-12,"A-A07","GRK2"
4.68411794955837e-16,-0.114606507591037,0.244,0.285,8.49324266613924e-12,"A-A07","ARF5"
5.38706749418403e-16,-0.0824617976101728,0.639,0.695,9.76783078045449e-12,"A-A07","TRIP6"
6.22390524179548e-16,-0.0970761536986119,0.316,0.361,1.12851849844236e-11,"A-A07","REPIN1"
6.68072171152188e-16,-0.0869580041934566,0.36,0.41,1.21134846073315e-11,"A-A07","TPGS1"
